file name, mutants, tests, cores, total time, original time, mutants time, mutation score, TS size, lines, algorithm, optimizations
primes, m68, t100, w2, 24894, 457, 19778, 1.378378, 398, 30, a4, 010110
add, m12, t100, w2, 1035, 240, 359, 1.100000, 583, 13, a3, 000110
factorial, m31, t100, w2, 26827, 292, 25576, 0.967742, 403, 18, a3, 000011
add, m20, t999, w2, 851550389, 3179, 9412, 1.727273, 583, 13, a4, 001101
factorial, m31, t100, w2, 27585, 291, 25501, 0.967742, 403, 18, a2, 111000
genPassword, m49, t100, w2, 11637, 400, 6912, 1.078947, 398, 63, a3, 101101
factorial, m31, t100, w2, 26736, 272, 25540, 0.967742, 403, 18, a4, 111011
gcd, m65, t150, w2, 23834, 726, 20734, 0.769231, 1495, 19, a2, 100010
primes, m68, t100, w2, 21005, 436, 11788, 0.750000, 398, 30, a3, 011000
primes, m68, t100, w2, 18319, 522, 12396, 1.378378, 398, 30, a2, 000110
primes, m68, t100, w2, 23922, 490, 12776, 1.342105, 398, 30, a2, 011101
add, m12, t100, w2, 1298, 257, 310, 0.916667, 583, 13, a4, 101001
massive, m49, t60, w2, 51700, 9893, 40064, 0.948718, 169, 13, a5, 001110
add, m12, t100, w2, 1090, 332, 378, 0.916667, 583, 13, a5, 101011
primes, m68, t100, w2, 18062, 522, 12361, 1.342105, 398, 30, a3, 001111
primes, m68, t100, w2, 44506, 1330, 31683, 1.342105, 398, 30, a4, 111101
genPassword, m49, t100, w2, 10289, 355, 5763, 0.789474, 398, 63, a5, 011101
anagram, m60, t100, w2, 11899, 279, 7641, 1.625000, 1370, 37, a4, 110100
genPassword, m49, t100, w2, 11134, 386, 6783, 0.836735, 398, 63, a4, 101001
massive, m49, t60, w2, 56720, 9970, 45138, 1.566667, 169, 13, a4, 101111
primes, m68, t100, w2, 9741, 565, 4640, 0.864865, 398, 30, a5, 001110
genPassword, m49, t100, w2, 8462, 414, 5686, 0.789474, 398, 63, a5, 101111
genPassword, m49, t100, w2, 9434, 423, 6634, 1.078947, 398, 63, a3, 011111
primes, m68, t100, w2, 17509, 548, 12878, 0.750000, 398, 30, a3, 000011
add, m12, t100, w2, 1063, 279, 379, 0.916667, 583, 13, a4, 011011
primes, m68, t100, w2, 18270, 1615, 5400, 0.842105, 398, 30, a5, 110101
gcd, m65, t150, w2, 23851, 671, 20769, 0.769231, 1495, 19, a2, 101010
genPassword, m49, t100, w2, 9202, 227, 6776, 0.836735, 398, 63, a3, 001011
add, m12, t100, w2, 2585, 524, 591, 0.916667, 583, 13, a2, 000000
primes, m68, t100, w2, 24456, 403, 12987, 0.750000, 398, 30, a5, 000000
gcd, m65, t150, w2, 24725, 654, 21175, 1.063830, 1495, 19, a3, 011110
gcd, m65, t150, w2, 24534, 699, 21159, 1.041667, 1495, 19, a3, 101111
factorial, m31, t100, w2, 26915, 268, 25522, 1.363636, 403, 18, a4, 000110
add, m20, t999, w2, 850699196, 14469, 4336, 0.950000, 583, 13, a2, 100000
massive, m49, t60, w2, 50746, 9515, 39628, 0.933333, 169, 13, a5, 000111
factorial, m31, t100, w2, 26731, 286, 25527, 0.967742, 403, 18, a3, 110010
anagram, m60, t100, w2, 11768, 240, 7832, 0.866667, 1370, 37, a4, 011001
add, m12, t100, w2, 1097, 271, 423, 0.916667, 583, 13, a5, 010011
primes, m68, t100, w2, 50136, 1953, 39051, 0.750000, 398, 30, a4, 111001
genPassword, m49, t100, w2, 9951, 382, 7113, 1.108108, 398, 63, a4, 100110
add, m12, t100, w2, 1406, 333, 286, 1.100000, 583, 13, a3, 110101
primes, m68, t100, w2, 24958, 1029, 12566, 1.342105, 398, 30, a3, 111101
primes, m68, t100, w2, 19126, 1431, 12809, 1.378378, 398, 30, a3, 111110
factorial, m31, t100, w2, 27653, 300, 25472, 0.967742, 403, 18, a3, 011000
add, m12, t100, w2, 1075, 298, 397, 0.916667, 583, 13, a2, 111010
genPassword, m49, t100, w2, 9663, 373, 7065, 0.836735, 398, 63, a5, 101011
factorial, m31, t100, w2, 26779, 253, 25573, 0.967742, 403, 18, a3, 001011
anagram, m60, t100, w2, 10021, 295, 7794, 0.866667, 1370, 37, a5, 111011
primes, m68, t100, w2, 22876, 451, 12612, 0.750000, 398, 30, a5, 001000
factorial, m31, t100, w2, 27763, 276, 25529, 1.304348, 403, 18, a2, 110101
factorial, m31, t100, w2, 27718, 283, 25539, 0.967742, 403, 18, a5, 010001
anagram, m60, t100, w2, 8959, 283, 6423, 0.878788, 1370, 37, a5, 100111
genPassword, m49, t100, w2, 10653, 357, 8238, 0.836735, 398, 63, a4, 001010
anagram, m60, t100, w2, 9953, 375, 7639, 0.866667, 1370, 37, a4, 111011
primes, m68, t100, w2, 23524, 1229, 12420, 1.342105, 398, 30, a2, 110101
massive, m49, t60, w2, 57290, 9910, 44945, 0.938776, 169, 13, a2, 111001
genPassword, m49, t100, w2, 8437, 396, 5594, 0.789474, 398, 63, a5, 010111
factorial, m31, t100, w2, 27621, 249, 25519, 0.967742, 403, 18, a2, 001000
add, m12, t100, w2, 1374, 262, 358, 0.916667, 583, 13, a5, 011000
add, m20, t999, w2, 851537664, 3170, 3311, 0.944444, 583, 13, a5, 001100
genPassword, m49, t100, w2, 9773, 406, 6884, 1.108108, 398, 63, a3, 000110
massive, m49, t60, w2, 46129, 9778, 34839, 0.959184, 169, 13, a5, 010011
anagram, m60, t100, w2, 12067, 261, 7669, 1.625000, 1370, 37, a2, 011100
anagram, m60, t100, w2, 10066, 340, 7748, 0.866667, 1370, 37, a2, 000011
genPassword, m49, t100, w2, 11320, 410, 6792, 1.078947, 398, 63, a4, 100101
anagram, m60, t100, w2, 8789, 258, 6349, 0.906250, 1370, 37, a5, 010110
gcd, m65, t150, w2, 26394, 543, 21627, 0.769231, 1495, 19, a4, 011000
primes, m68, t100, w2, 22744, 1681, 11841, 0.750000, 398, 30, a3, 111001
factorial, m31, t100, w2, 27770, 291, 25466, 1.304348, 403, 18, a4, 010101
primes, m68, t100, w2, 41847, 1493, 29591, 0.750000, 398, 30, a4, 110001
gcd, m65, t150, w2, 27593, 588, 22720, 0.769231, 1495, 19, a5, 111000
add, m12, t100, w2, 1175, 283, 300, 1.100000, 583, 13, a2, 100111
add, m20, t999, w2, 851168007, 15434, 4771, 0.909091, 583, 13, a5, 110101
factorial, m31, t100, w2, 26904, 275, 25471, 1.363636, 403, 18, a3, 001110
anagram, m60, t100, w2, 11485, 297, 7627, 0.866667, 1370, 37, a5, 011001
genPassword, m49, t100, w2, 10182, 357, 5493, 0.789474, 398, 63, a5, 100101
anagram, m60, t100, w2, 11506, 276, 7649, 0.866667, 1370, 37, a3, 011000
primes, m68, t100, w2, 18683, 577, 14035, 0.750000, 398, 30, a3, 011011
gcd, m65, t150, w2, 26286, 683, 21222, 0.769231, 1495, 19, a3, 111001
gcd, m65, t150, w2, 15802, 566, 12397, 0.812500, 1495, 19, a5, 111111
primes, m68, t100, w2, 17569, 1172, 4929, 0.864865, 398, 30, a5, 101100
anagram, m60, t100, w2, 10148, 395, 7814, 0.866667, 1370, 37, a4, 110011
add, m12, t100, w2, 1349, 298, 300, 0.900000, 583, 13, a5, 000100
massive, m49, t60, w2, 56652, 9966, 45027, 1.533333, 169, 13, a2, 101111
anagram, m60, t100, w2, 11649, 235, 7551, 1.575758, 1370, 37, a2, 000101
primes, m68, t100, w2, 22158, 646, 13020, 0.750000, 398, 30, a5, 100000
genPassword, m49, t100, w2, 9528, 380, 6647, 1.108108, 398, 63, a2, 101110
add, m12, t100, w2, 1471, 293, 375, 0.916667, 583, 13, a5, 110000
anagram, m60, t100, w2, 11370, 266, 7517, 0.866667, 1370, 37, a5, 000001
factorial, m31, t100, w2, 11599, 311, 10189, 1.000000, 403, 18, a5, 110110
factorial, m31, t100, w2, 27644, 303, 25503, 0.967742, 403, 18, a3, 011001
massive, m49, t60, w2, 41483, 9718, 29099, 0.933333, 169, 13, a5, 010101
genPassword, m49, t100, w2, 9519, 374, 6963, 0.836735, 398, 63, a3, 110010
add, m12, t100, w2, 1064, 280, 323, 1.100000, 583, 13, a3, 111110
massive, m49, t60, w2, 57189, 9777, 45117, 0.959184, 169, 13, a4, 001001
factorial, m31, t100, w2, 27917, 283, 25586, 1.363636, 403, 18, a2, 010100
factorial, m31, t100, w2, 26922, 288, 25503, 1.304348, 403, 18, a3, 100111
primes, m68, t100, w2, 32171, 545, 27498, 0.750000, 398, 30, a4, 001010
anagram, m60, t100, w2, 11798, 250, 7587, 1.625000, 1370, 37, a2, 010100
genPassword, m49, t100, w2, 9484, 271, 4977, 0.810811, 398, 63, a5, 000100
anagram, m60, t100, w2, 10586, 315, 8031, 1.575758, 1370, 37, a4, 110111
primes, m68, t100, w2, 23798, 542, 12799, 0.750000, 398, 30, a3, 001000
anagram, m60, t100, w2, 11700, 321, 7652, 0.866667, 1370, 37, a2, 110001
add, m12, t100, w2, 1126, 294, 371, 1.100000, 583, 13, a3, 110110
genPassword, m49, t100, w2, 10744, 295, 6605, 0.836735, 398, 63, a3, 000001
factorial, m31, t100, w2, 27667, 294, 25504, 0.967742, 403, 18, a2, 010000
massive, m49, t60, w2, 56511, 9963, 45175, 0.938776, 169, 13, a3, 111011
anagram, m60, t100, w2, 10620, 310, 6383, 0.878788, 1370, 37, a5, 100101
add, m12, t100, w2, 1086, 362, 356, 0.916667, 583, 13, a3, 100011
massive, m49, t60, w2, 57697, 9937, 45373, 0.959184, 169, 13, a4, 100001
primes, m68, t100, w2, 24739, 510, 12640, 1.378378, 398, 30, a3, 000100
add, m12, t100, w2, 1085, 298, 310, 1.100000, 583, 13, a2, 001110
add, m20, t999, w2, 850633721, 15089, 4456, 0.900000, 583, 13, a5, 101000
anagram, m60, t100, w2, 10264, 354, 7729, 1.575758, 1370, 37, a2, 110111
anagram, m60, t100, w2, 8662, 299, 6023, 0.906250, 1370, 37, a5, 111110
gcd, m65, t150, w2, 23232, 605, 20194, 0.769231, 1495, 19, a4, 010011
gcd, m65, t150, w2, 24837, 850, 21737, 0.769231, 1495, 19, a5, 100011
add, m12, t100, w2, 1045, 284, 357, 0.916667, 583, 13, a5, 000010
genPassword, m49, t100, w2, 9723, 509, 6953, 0.836735, 398, 63, a5, 100010
factorial, m31, t100, w2, 27773, 264, 25469, 1.363636, 403, 18, a3, 001100
anagram, m60, t100, w2, 11692, 278, 7657, 0.866667, 1370, 37, a4, 001001
add, m12, t100, w2, 1344, 270, 283, 0.916667, 583, 13, a3, 111000
primes, m68, t100, w2, 23395, 984, 11802, 0.750000, 398, 30, a3, 100000
primes, m68, t100, w2, 19445, 1389, 13927, 0.750000, 398, 30, a3, 101010
primes, m68, t100, w2, 17893, 1431, 5293, 0.864865, 398, 30, a5, 110100
add, m12, t100, w2, 1291, 247, 305, 0.916667, 583, 13, a3, 011000
genPassword, m49, t100, w2, 10969, 405, 6679, 0.836735, 398, 63, a5, 110000
add, m20, t999, w2, 851252916, 15740, 16084, 1.727273, 583, 13, a4, 111101
genPassword, m49, t100, w2, 10985, 320, 6751, 0.836735, 398, 63, a3, 111000
add, m12, t100, w2, 1075, 298, 377, 0.916667, 583, 13, a4, 110010
factorial, m31, t100, w2, 27702, 287, 25538, 0.967742, 403, 18, a5, 110001
massive, m49, t60, w2, 45767, 9885, 34234, 1.566667, 169, 13, a4, 110111
anagram, m60, t100, w2, 11339, 326, 7557, 0.866667, 1370, 37, a4, 000001
add, m20, t999, w2, 851471705, 3198, 9178, 1.727273, 583, 13, a4, 011000
primes, m68, t100, w2, 37880, 671, 26603, 0.750000, 398, 30, a4, 110000
add, m12, t100, w2, 1652, 350, 443, 0.916667, 583, 13, a4, 000000
massive, m49, t60, w2, 47054, 9959, 34696, 0.959184, 169, 13, a4, 110001
primes, m68, t100, w2, 17719, 456, 12852, 1.378378, 398, 30, a2, 011110
primes, m68, t100, w2, 39766, 548, 28868, 0.750000, 398, 30, a4, 011000
gcd, m65, t150, w2, 26310, 666, 21300, 0.769231, 1495, 19, a3, 111000
factorial, m31, t100, w2, 26854, 278, 25584, 0.967742, 403, 18, a5, 100011
anagram, m60, t100, w2, 8814, 266, 6316, 0.878788, 1370, 37, a5, 000111
gcd, m65, t150, w2, 15747, 609, 12325, 0.829787, 1495, 19, a5, 011110
add, m12, t100, w2, 1356, 260, 291, 0.900000, 583, 13, a5, 101100
massive, m49, t60, w2, 63762, 10615, 48858, 0.938776, 169, 13, a3, 000000
factorial, m31, t100, w2, 27449, 302, 25338, 0.967742, 403, 18, a4, 011000
anagram, m60, t100, w2, 11532, 271, 7536, 0.866667, 1370, 37, a3, 011001
gcd, m65, t150, w2, 26145, 695, 21137, 0.769231, 1495, 19, a2, 111000
anagram, m60, t100, w2, 11728, 248, 7573, 1.575758, 1370, 37, a4, 010101
primes, m68, t100, w2, 44097, 477, 32544, 1.378378, 398, 30, a4, 000100
primes, m68, t100, w2, 19218, 1340, 14482, 0.750000, 398, 30, a2, 110010
anagram, m60, t100, w2, 11870, 266, 7742, 1.575758, 1370, 37, a2, 101101
genPassword, m49, t100, w2, 11424, 404, 7053, 0.836735, 398, 63, a5, 011001
add, m12, t100, w2, 1094, 268, 438, 0.916667, 583, 13, a4, 110011
factorial, m31, t100, w2, 26856, 294, 25590, 0.967742, 403, 18, a3, 100010
genPassword, m49, t100, w2, 9690, 458, 5102, 0.789474, 398, 63, a5, 101101
primes, m68, t100, w2, 42209, 694, 31289, 0.750000, 398, 30, a4, 101001
factorial, m31, t100, w2, 27493, 297, 25457, 0.967742, 403, 18, a5, 111000
anagram, m60, t100, w2, 10430, 309, 7841, 1.575758, 1370, 37, a4, 100111
factorial, m31, t100, w2, 27695, 297, 25530, 0.967742, 403, 18, a2, 000000
primes, m68, t100, w2, 38272, 2025, 26113, 0.750000, 398, 30, a4, 111000
genPassword, m49, t100, w2, 9584, 392, 7046, 0.836735, 398, 63, a3, 011010
massive, m49, t60, w2, 52313, 10069, 40449, 0.948718, 169, 13, a5, 101110
factorial, m31, t100, w2, 27149, 281, 25894, 0.967742, 403, 18, a5, 011011
primes, m68, t100, w2, 18386, 942, 13645, 0.750000, 398, 30, a2, 110011
anagram, m60, t100, w2, 9791, 248, 7737, 0.866667, 1370, 37, a3, 000011
add, m12, t100, w2, 982, 254, 363, 0.916667, 583, 13, a3, 001011
anagram, m60, t100, w2, 12059, 354, 7684, 1.575758, 1370, 37, a4, 101101
massive, m49, t60, w2, 57570, 9835, 44968, 1.205128, 169, 13, a4, 001100
add, m12, t100, w2, 1291, 275, 287, 0.916667, 583, 13, a4, 001000
factorial, m31, t100, w2, 12715, 280, 10479, 0.956522, 403, 18, a5, 001101
primes, m48, t99, w2, 11859, 408, 7813, 0.750000, 398, 30, a4, 000000
anagram, m60, t100, w2, 11834, 324, 7648, 1.575758, 1370, 37, a4, 001101
primes, m48, t99, w2, 5853, 240, 3261, 0.750000, 398, 30, a4, 000000
gcd, m65, t150, w2, 26112, 719, 21103, 0.769231, 1495, 19, a3, 100000
massive, m49, t60, w2, 52223, 10052, 40478, 0.948718, 169, 13, a5, 100110
add, m12, t100, w2, 1133, 294, 365, 1.100000, 583, 13, a4, 101110
anagram, m60, t100, w2, 10153, 293, 7589, 1.625000, 1370, 37, a2, 100110
genPassword, m49, t100, w2, 11340, 476, 6873, 0.836735, 398, 63, a2, 011000
add, m20, t999, w2, 850918320, 4282, 4476, 0.909091, 583, 13, a5, 000101
primes, m68, t100, w2, 18781, 532, 12716, 1.342105, 398, 30, a3, 000111
add, m12, t100, w2, 1097, 344, 359, 0.916667, 583, 13, a2, 100010
add, m12, t100, w2, 1035, 269, 357, 0.916667, 583, 13, a3, 110011
genPassword, m49, t100, w2, 11293, 378, 6709, 1.108108, 398, 63, a4, 010100
add, m20, t999, w2, 851220872, 15541, 4987, 0.944444, 583, 13, a5, 111100
massive, m49, t60, w2, 46771, 10157, 35240, 0.959184, 169, 13, a5, 111011
factorial, m31, t100, w2, 26940, 335, 25498, 1.304348, 403, 18, a3, 101111
gcd, m65, t150, w2, 25104, 632, 22088, 0.769231, 1495, 19, a4, 001011
genPassword, m49, t100, w2, 9875, 390, 5230, 0.810811, 398, 63, a5, 001100
massive, m49, t60, w2, 57384, 9863, 45123, 0.938776, 169, 13, a3, 110000
genPassword, m49, t100, w2, 11538, 497, 6819, 1.108108, 398, 63, a3, 101100
anagram, m60, t100, w2, 8829, 323, 6222, 1.625000, 1370, 37, a4, 111110
add, m12, t100, w2, 1053, 306, 357, 0.916667, 583, 13, a3, 111011
factorial, m31, t100, w2, 26927, 295, 25629, 0.967742, 403, 18, a2, 100011
massive, m49, t60, w2, 40878, 9853, 29433, 0.933333, 169, 13, a5, 010111
genPassword, m49, t100, w2, 11338, 357, 7025, 0.836735, 398, 63, a5, 010001
factorial, m31, t100, w2, 26851, 243, 25681, 0.967742, 403, 18, a2, 011010
genPassword, m49, t100, w2, 11270, 330, 6741, 1.078947, 398, 63, a3, 010101
gcd, m65, t150, w2, 24152, 700, 21085, 0.769231, 1495, 19, a2, 011010
add, m20, t999, w2, 851452804, 3182, 9384, 1.727273, 583, 13, a4, 010000
primes, m68, t100, w2, 19596, 1153, 14468, 0.750000, 398, 30, a5, 110011
genPassword, m49, t100, w2, 9989, 420, 5376, 0.789474, 398, 63, a5, 111101
massive, m49, t60, w2, 58205, 9882, 45613, 1.205128, 169, 13, a4, 011100
factorial, m31, t100, w2, 26959, 314, 25555, 1.304348, 403, 18, a3, 010111
add, m12, t100, w2, 1279, 244, 279, 1.100000, 583, 13, a2, 000101
factorial, m31, t100, w2, 26910, 302, 25607, 0.967742, 403, 18, a2, 111010
primes, m68, t100, w2, 23972, 436, 12663, 0.750000, 398, 30, a5, 011001
massive, m49, t60, w2, 46833, 9696, 34796, 0.959184, 169, 13, a5, 110001
massive, m49, t60, w2, 57530, 9892, 45291, 0.938776, 169, 13, a2, 011001
primes, m68, t100, w2, 28713, 1148, 17194, 0.750000, 398, 30, a5, 111001
add, m20, t999, w2, 851490832, 3169, 9236, 1.055556, 583, 13, a4, 010100
massive, m49, t60, w2, 57644, 9899, 45325, 0.959184, 169, 13, a5, 100000
factorial, m31, t100, w2, 12721, 309, 10475, 1.000000, 403, 18, a5, 110100
gcd, m65, t150, w2, 26777, 473, 21914, 0.769231, 1495, 19, a4, 101000
massive, m49, t60, w2, 57246, 9775, 44884, 1.533333, 169, 13, a3, 001101
anagram, m60, t100, w2, 10460, 297, 6115, 0.906250, 1370, 37, a5, 100100
gcd, m65, t150, w2, 25461, 626, 20362, 1.041667, 1495, 19, a3, 000101
gcd, m65, t150, w2, 25543, 620, 22611, 0.769231, 1495, 19, a4, 000011
primes, m68, t100, w2, 38051, 1405, 32084, 1.342105, 398, 30, a4, 110110
factorial, m31, t100, w2, 11908, 300, 10494, 0.956522, 403, 18, a5, 101111
primes, m48, t99, w2, 5661, 205, 2957, 0.750000, 398, 30, a4, 000000
primes, m68, t100, w2, 24702, 494, 13142, 1.342105, 398, 30, a3, 001101
factorial, m31, t100, w2, 27678, 302, 25522, 0.967742, 403, 18, a5, 100000
gcd, m65, t150, w2, 25594, 632, 20618, 0.769231, 1495, 19, a5, 011000
anagram, m60, t100, w2, 9674, 223, 7625, 0.866667, 1370, 37, a2, 000010
add, m12, t100, w2, 1386, 286, 296, 0.900000, 583, 13, a5, 001101
primes, m68, t100, w2, 36235, 1351, 30506, 0.750000, 398, 30, a4, 101010
anagram, m60, t100, w2, 9916, 231, 7747, 0.866667, 1370, 37, a3, 001010
anagram, m60, t100, w2, 9968, 256, 7801, 0.866667, 1370, 37, a3, 101010
anagram, m60, t100, w2, 9921, 269, 7701, 0.866667, 1370, 37, a5, 101010
massive, m49, t60, w2, 57603, 9905, 44964, 1.179487, 169, 13, a2, 100100
massive, m49, t60, w2, 63828, 12417, 47311, 0.938776, 169, 13, a2, 000001
anagram, m60, t100, w2, 11426, 260, 7527, 0.866667, 1370, 37, a3, 001001
massive, m49, t60, w2, 57225, 10019, 44832, 0.959184, 169, 13, a5, 100001
gcd, m65, t150, w2, 18991, 764, 13500, 0.812500, 1495, 19, a5, 110101
gcd, m65, t150, w2, 26000, 562, 22999, 0.769231, 1495, 19, a4, 101010
primes, m68, t100, w2, 25159, 1775, 12676, 1.342105, 398, 30, a2, 101101
factorial, m31, t100, w2, 26904, 287, 25491, 1.363636, 403, 18, a4, 100110
massive, m49, t60, w2, 51607, 9715, 40262, 0.933333, 169, 13, a5, 101111
massive, m49, t60, w2, 56687, 9678, 44535, 0.959184, 169, 13, a5, 000001
add, m12, t100, w2, 1230, 252, 273, 0.916667, 583, 13, a4, 001001
add, m12, t100, w2, 1609, 396, 405, 0.916667, 583, 13, a3, 000000
primes, m68, t100, w2, 22072, 300, 13308, 0.750000, 398, 30, a5, 010001
add, m12, t100, w2, 973, 251, 268, 1.100000, 583, 13, a4, 000111
massive, m49, t60, w2, 56238, 9855, 45023, 0.938776, 169, 13, a3, 001011
primes, m68, t100, w2, 24318, 607, 12830, 1.342105, 398, 30, a2, 000101
massive, m49, t60, w2, 41095, 9649, 29715, 0.948718, 169, 13, a5, 010110
factorial, m31, t100, w2, 27734, 300, 25511, 0.967742, 403, 18, a3, 111001
massive, m49, t60, w2, 56485, 9919, 45115, 0.938776, 169, 13, a3, 101010
massive, m49, t60, w2, 57943, 9974, 45048, 1.179487, 169, 13, a3, 010100
primes, m68, t100, w2, 22974, 1153, 10545, 1.378378, 398, 30, a4, 101100
primes, m68, t100, w2, 19240, 1247, 12869, 1.378378, 398, 30, a2, 100110
primes, m68, t100, w2, 20453, 372, 12356, 0.750000, 398, 30, a3, 010001
factorial, m31, t100, w2, 27815, 330, 25508, 1.363636, 403, 18, a2, 110100
anagram, m60, t100, w2, 11683, 260, 7677, 0.866667, 1370, 37, a4, 100000
add, m20, t999, w2, 850612924, 14747, 15776, 0.950000, 583, 13, a4, 101000
gcd, m65, t150, w2, 23595, 466, 20718, 0.769231, 1495, 19, a3, 000011
add, m12, t100, w2, 1084, 330, 349, 0.916667, 583, 13, a4, 100010
massive, m49, t60, w2, 57456, 9877, 45200, 0.959184, 169, 13, a5, 001001
anagram, m60, t100, w2, 9937, 280, 7756, 0.866667, 1370, 37, a2, 010011
add, m12, t100, w2, 1485, 294, 297, 1.100000, 583, 13, a2, 110101
add, m20, t999, w2, 850835727, 17107, 15375, 0.950000, 583, 13, a4, 101000
gcd, m65, t150, w2, 17744, 535, 12550, 0.812500, 1495, 19, a5, 011101
anagram, m60, t100, w2, 9899, 260, 7759, 0.866667, 1370, 37, a3, 001011
massive, m49, t60, w2, 57715, 10016, 45303, 0.938776, 169, 13, a3, 111001
add, m12, t100, w2, 1435, 320, 308, 0.900000, 583, 13, a5, 110101
gcd, m65, t150, w2, 25804, 625, 22807, 0.769231, 1495, 19, a4, 000010
genPassword, m49, t100, w2, 11399, 344, 6976, 1.078947, 398, 63, a3, 000101
add, m20, t999, w2, 851427156, 9017, 3132, 0.909091, 583, 13, a5, 100101
add, m12, t100, w2, 1438, 297, 373, 0.916667, 583, 13, a3, 110001
genPassword, m49, t100, w2, 11126, 437, 6812, 0.836735, 398, 63, a4, 111001
massive, m49, t60, w2, 57280, 9901, 44831, 1.533333, 169, 13, a2, 101101
genPassword, m49, t100, w2, 7994, 276, 5210, 0.810811, 398, 63, a5, 011110
genPassword, m49, t100, w2, 9095, 272, 6689, 0.836735, 398, 63, a2, 011010
genPassword, m49, t100, w2, 11794, 429, 7004, 1.108108, 398, 63, a3, 111100
massive, m49, t60, w2, 57183, 9852, 44954, 0.938776, 169, 13, a3, 010001
primes, m68, t100, w2, 36922, 1040, 31456, 0.750000, 398, 30, a4, 111011
massive, m49, t60, w2, 57588, 9903, 45066, 1.566667, 169, 13, a4, 101101
massive, m49, t60, w2, 42477, 9790, 30071, 0.933333, 169, 13, a5, 111101
anagram, m60, t100, w2, 9913, 259, 7795, 0.866667, 1370, 37, a2, 001011
factorial, m31, t100, w2, 26968, 308, 25512, 1.304348, 403, 18, a2, 000111
genPassword, m49, t100, w2, 10951, 330, 6379, 1.108108, 398, 63, a4, 111100
factorial, m31, t100, w2, 26739, 330, 25473, 0.967742, 403, 18, a4, 110011
primes, m68, t100, w2, 16659, 531, 11994, 0.750000, 398, 30, a2, 000010
add, m12, t100, w2, 1057, 309, 333, 0.916667, 583, 13, a3, 010011
anagram, m60, t100, w2, 9868, 234, 7770, 0.866667, 1370, 37, a5, 001010
