file name, mutants, tests, cores, total time, original time, mutants time, mutation score, TS size, lines, algorithm, optimizations
add, m12, t100, w2, 1054, 262, 315, 0.900000, 583, 13, a5, 001110
massive, m49, t60, w2, 57777, 10007, 45141, 1.533333, 169, 13, a2, 110101
anagram, m60, t100, w2, 9874, 282, 7705, 0.866667, 1370, 37, a2, 010010
massive, m49, t60, w2, 57535, 10013, 45095, 0.938776, 169, 13, a2, 110000
add, m12, t100, w2, 1434, 311, 302, 1.100000, 583, 13, a4, 100101
add, m12, t99, w2, 1183, 285, 209, 0.916667, 583, 13, a4, 000000
factorial, m31, t100, w2, 27724, 253, 25517, 1.363636, 403, 18, a2, 000100
factorial, m31, t100, w2, 12314, 256, 10851, 0.956522, 403, 18, a5, 010111
primes, m68, t100, w2, 17394, 533, 12576, 0.750000, 398, 30, a2, 010010
add, m12, t100, w2, 1369, 340, 279, 0.916667, 583, 13, a5, 101000
massive, m49, t60, w2, 57552, 9873, 45340, 0.959184, 169, 13, a5, 101001
gcd, m65, t150, w2, 26804, 560, 21643, 1.041667, 1495, 19, a2, 110101
massive, m49, t60, w2, 57398, 9869, 45149, 0.959184, 169, 13, a5, 001000
genPassword, m49, t100, w2, 10169, 388, 5531, 0.810811, 398, 63, a5, 100100
add, m12, t100, w2, 1324, 274, 299, 0.916667, 583, 13, a2, 010000
primes, m68, t100, w2, 34204, 1534, 27735, 1.342105, 398, 30, a4, 110111
anagram, m60, t100, w2, 11403, 227, 7605, 0.866667, 1370, 37, a2, 001001
gcd, m65, t150, w2, 22547, 656, 18990, 1.063830, 1495, 19, a4, 001110
add, m12, t100, w2, 1074, 301, 315, 1.100000, 583, 13, a3, 100110
genPassword, m49, t100, w2, 9403, 413, 6859, 0.836735, 398, 63, a2, 010010
add, m12, t100, w2, 1412, 288, 331, 1.100000, 583, 13, a3, 110100
factorial, m31, t100, w2, 26938, 249, 25556, 1.304348, 403, 18, a3, 001111
add, m12, t100, w2, 1036, 235, 309, 1.100000, 583, 13, a2, 000110
primes, m68, t100, w2, 12230, 1287, 5636, 0.842105, 398, 30, a5, 100111
factorial, m31, t100, w2, 27486, 269, 25508, 0.967742, 403, 18, a4, 001001
genPassword, m49, t100, w2, 9258, 363, 6711, 0.836735, 398, 63, a4, 010011
factorial, m31, t100, w2, 27572, 268, 25474, 0.967742, 403, 18, a3, 000001
genPassword, m49, t100, w2, 11159, 365, 6659, 1.078947, 398, 63, a2, 000101
genPassword, m49, t100, w2, 11294, 400, 6966, 0.836735, 398, 63, a3, 101001
anagram, m60, t100, w2, 10170, 271, 7697, 1.625000, 1370, 37, a2, 011110
gcd, m65, t150, w2, 25196, 563, 20294, 0.769231, 1495, 19, a3, 011000
add, m20, t999, w2, 851511560, 3188, 9436, 1.727273, 583, 13, a4, 010101
primes, m68, t100, w2, 25644, 470, 14215, 0.750000, 398, 30, a5, 011000
anagram, m60, t100, w2, 10303, 308, 6066, 0.906250, 1370, 37, a5, 101100
massive, m49, t60, w2, 46239, 9933, 34829, 0.959184, 169, 13, a4, 110011
anagram, m60, t100, w2, 11902, 364, 7779, 1.575758, 1370, 37, a3, 111101
gcd, m65, t150, w2, 24092, 491, 21217, 0.769231, 1495, 19, a5, 010010
anagram, m60, t100, w2, 9954, 277, 7750, 0.866667, 1370, 37, a2, 011010
add, m12, t100, w2, 1066, 245, 307, 1.100000, 583, 13, a4, 011111
primes, m68, t100, w2, 18361, 1202, 13264, 1.378378, 398, 30, a3, 100110
genPassword, m49, t100, w2, 9610, 381, 7030, 0.836735, 398, 63, a4, 000010
anagram, m60, t100, w2, 9914, 272, 7755, 0.866667, 1370, 37, a4, 011011
factorial, m31, t100, w2, 11851, 309, 10438, 0.956522, 403, 18, a5, 110111
primes, m68, t100, w2, 18869, 1743, 12716, 0.750000, 398, 30, a2, 111010
genPassword, m49, t100, w2, 11524, 311, 6940, 1.108108, 398, 63, a4, 100100
add, m20, t999, w2, 851342558, 9045, 9134, 1.727273, 583, 13, a4, 101101
gcd, m65, t150, w2, 28435, 639, 23383, 0.769231, 1495, 19, a4, 111000
gcd, m65, t150, w2, 24929, 657, 21384, 1.063830, 1495, 19, a2, 111110
primes, m68, t100, w2, 18984, 1133, 13550, 0.750000, 398, 30, a5, 110010
massive, m49, t60, w2, 46383, 9963, 35026, 0.959184, 169, 13, a5, 111010
anagram, m60, t100, w2, 11835, 251, 7663, 1.625000, 1370, 37, a4, 000100
anagram, m60, t100, w2, 9970, 240, 7627, 1.575758, 1370, 37, a3, 000111
primes, m2, t10, w2, 2771, 2503, 27, 1.000000, 398, 30, a5, 000000
primes, m68, t100, w2, 17599, 344, 12868, 0.750000, 398, 30, a3, 010010
factorial, m31, t100, w2, 26626, 262, 25439, 0.967742, 403, 18, a5, 010010
factorial, m31, t100, w2, 26742, 251, 25536, 0.967742, 403, 18, a5, 001011
