parg, m1254, t52, w2, 213977, 177, 4384, 226978, 3.495, 1.0, 418, 2518, a3, 111110
anagram, m30, t100, w2, 792, 323, 4055, 5036, 135.1667, 0.8667, 1370, 37, a4, 000011
factorial, m15, t100, w2, 810, 321, 9775, 10778, 630.6774, 0.9677, 403, 18, a2, 001001
squareMatrix, m60, t50, w8, 1558, 20, 3463, 5056, 57.0879, 1.0, 903, 72, a2, 101010
transpose, m49, t50, w2, 1955, 158, 20757, 22794, 417.9396, 0.8993, 903, 40, a4, 101010
selectSort, m184, t50, w8, 3966, 152, 11740, 16492, 63.8043, 0.9101, 1900, 45, a3, 011111
squareMatrix, m60, t50, w4, 1580, 47, 7701, 9395, 126.9505, 1.0, 903, 72, a2, 111111
parg, m5018, t52, w8, 873786, 21, 1624, 898254, 0.3236, 1.0, 418, 2518, a5, 100110
squareMatrix, m91, t50, w4, 2334, 146, 11539, 14173, 126.8022, 1.0, 903, 72, a3, 010111
anagram, m120, t100, w2, 3134, 319, 16334, 20228, 136.1167, 0.8667, 1370, 37, a5, 000010
mergeSort, m452, t50, w4, 13716, 49, 45742, 60368, 101.1991, 0.9336, 1900, 129, a2, 101111
add, m6, t100, w2, 131, 320, 219, 539, 36.5833, 0.9167, 583, 13, a4, 010010
huffmanCoding, m104, t50, w4, 6002, 156, 11426, 17537, 109.1656, 0.9013, 1874, 318, a3, 010010
factorial, m15, t100, w2, 785, 326, 9766, 10744, 630.0968, 0.9677, 403, 18, a3, 001000
minProd, m362, t50, w4, 8864, 156, 10570, 19902, 29.1989, 0.7845, 1946, 72, a3, 000011
bubbleSort, m37, t50, w4, 824, 49, 25695, 26617, 682.1681, 0.9182, 1900, 41, a2, 110111
mergeSort, m75, t50, w8, 2393, 100, 3538, 6052, 46.9646, 0.9336, 1900, 129, a3, 010111
add, m24, t100, w2, 544, 324, 708, 2160, 29.5, 0.9167, 583, 13, a4, 110110
huffmanCoding, m628, t50, w8, 37316, 128, 30670, 69740, 48.8376, 0.9279, 1874, 318, a2, 000111
mergeSort, m452, t50, w8, 14054, 21, 21140, 35424, 46.7699, 0.9336, 1900, 129, a3, 111010
bubbleSort, m226, t50, w4, 4934, 50, 154048, 160700, 681.6283, 0.9182, 1900, 41, a2, 111110
genPassword, m24, t100, w2, 736, 327, 2780, 3713, 113.4898, 0.8367, 398, 63, a5, 001011
transpose, m74, t50, w4, 1859, 50, 10466, 12393, 140.4832, 0.8993, 903, 40, a2, 101010
factorial, m15, t100, w2, 820, 321, 9746, 10754, 628.7742, 0.9677, 403, 18, a5, 010000
quickSort, m254, t50, w8, 9512, 136, 30012, 40342, 118.1575, 0.9603, 1900, 56, a2, 010111
add, m4, t100, w4, 56, 98, 37, 147, 9.25, 0.9167, 583, 13, a4, 111011
dictionaryOrder, m35, t100, w4, 604, 93, 5828, 6680, 164.169, 0.9265, 8248, 32, a2, 110111
transpose, m74, t50, w2, 2903, 160, 31132, 34159, 417.8792, 0.8993, 903, 40, a2, 000010
mergeSort, m113, t50, w2, 5110, 162, 34069, 39925, 301.4956, 0.9336, 1900, 129, a3, 111110
anagram, m120, t100, w2, 3220, 316, 15928, 20422, 132.7333, 0.8667, 1370, 37, a4, 001111
transpose, m49, t50, w8, 1270, 22, 3374, 4829, 67.9329, 0.9054, 903, 40, a2, 110111
squareMatrix, m91, t50, w8, 2449, 141, 5202, 7768, 57.1703, 1.0, 903, 72, a2, 010011
squareMatrix, m60, t50, w4, 1568, 50, 7715, 9328, 127.1703, 1.0, 903, 72, a2, 100010
insertSort, m216, t50, w8, 4694, 140, 12692, 17990, 58.7593, 0.9444, 1900, 40, a2, 001111
longestIncrease, m228, t50, w2, 19646, 9480, 260164, 300262, 1141.0702, 0.9196, 1946, 70, a4, 010100
anagram, m20, t100, w2, 526, 320, 2721, 3373, 136.0833, 0.8667, 1370, 37, a4, 001011
quickSort, m254, t50, w4, 9050, 147, 55816, 66006, 219.748, 0.9603, 1900, 56, a2, 011111
mergeSort, m452, t50, w2, 21102, 149, 136806, 160782, 302.6681, 0.9336, 1900, 129, a2, 001110
primes, m34, t100, w2, 878, 325, 3605, 4863, 106.0294, 0.8793, 398, 30, a3, 001110
parg, m1254, t52, w2, 213544, 175, 4328, 223339, 3.4504, 1.0, 418, 2518, a4, 111111
longestIncrease, m228, t50, w2, 9888, 9759, 262146, 292668, 1149.7632, 0.9196, 1946, 70, a2, 100111
transpose, m298, t50, w4, 7582, 48, 41848, 49696, 140.4295, 0.8993, 903, 40, a5, 101010
squareMatrix, m91, t50, w8, 2350, 20, 5180, 7586, 56.9286, 1.0, 903, 72, a2, 110010
