bubbleSort, m113, t50, w4, 2448, 147, 76985, 79803, 681.2832, 0.9182, 1900, 41, a2, 000111
factorial, m31, t100, w8, 495, 262, 5083, 5900, 163.9677, 0.9677, 403, 18, a2, 010011
insertSort, m108, t50, w8, 2375, 149, 6344, 8941, 58.7407, 0.9444, 1900, 40, a2, 010011
factorial, m31, t100, w2, 784, 320, 19510, 20889, 629.3548, 0.9677, 403, 18, a2, 110110
minProd, m181, t50, w4, 4474, 50, 5337, 9945, 29.4862, 0.7845, 1946, 72, a3, 101011
selectSort, m92, t50, w2, 3082, 161, 40187, 43827, 436.8152, 0.9101, 1900, 45, a4, 010111
factorial, m31, t100, w8, 520, 39, 5082, 5704, 163.9355, 0.9677, 403, 18, a3, 111011
squareMatrix, m182, t50, w4, 4684, 145, 22739, 28681, 124.9396, 1.0, 903, 72, a5, 000110
maxArrSumNeg, m112, t50, w4, 2748, 50, 20905, 23907, 186.6518, 0.9358, 1910, 63, a3, 100111
factorial, m31, t100, w8, 502, 42, 5077, 5681, 163.7742, 0.9677, 403, 18, a3, 110010
huffmanCodingEff, m199, t50, w2, 14796, 162, 40446, 56123, 203.2462, 0.849, 1874, 239, a2, 010111
transpose, m149, t50, w2, 5869, 158, 62355, 68471, 418.4899, 0.8993, 903, 40, a3, 101010
selectSort, m92, t50, w2, 3046, 163, 40180, 43975, 436.7391, 0.9101, 1900, 45, a3, 010110
squareMatrix, m182, t50, w8, 4700, 20, 10361, 15172, 56.9286, 1.0, 903, 72, a2, 110010
parg, m2509, t52, w8, 434517, 19, 830, 435982, 0.3308, 1.0, 418, 2518, a2, 100011
massive, m49, t60, w4, 681, 38281, 61682, 100686, 1258.8163, 1.0, 169, 13, a5, 110011
parg, m2509, t52, w2, 430131, 180, 2555, 443842, 1.0183, 1.0, 418, 2518, a5, 101111
anagram, m60, t100, w2, 1594, 308, 8080, 10045, 134.6667, 0.8667, 1370, 37, a3, 100010
factorial, m31, t100, w2, 1590, 318, 19567, 21533, 631.1935, 0.9677, 403, 18, a5, 101001
factorial, m31, t100, w4, 503, 103, 7044, 7778, 227.2258, 0.9677, 403, 18, a2, 101111
transpose, m149, t50, w8, 3812, 22, 10122, 14488, 67.9329, 0.9054, 903, 40, a2, 110111
parg, m2509, t52, w8, 450805, 123, 265, 452698, 0.1056, 1.0, 418, 2518, a5, 000111
transpose, m149, t50, w2, 5773, 157, 62030, 68870, 416.3087, 0.8993, 903, 40, a4, 001110
factorial, m31, t100, w4, 495, 291, 7032, 7952, 226.8387, 0.9677, 403, 18, a2, 000111
genPassword, m49, t100, w2, 1499, 318, 5522, 7404, 112.6939, 0.8367, 398, 63, a5, 001010
factorial, m31, t100, w4, 519, 101, 7061, 7744, 227.7742, 0.9677, 403, 18, a3, 100010
bubbleSort, m113, t50, w2, 3731, 163, 214262, 218924, 1896.1239, 0.9182, 1900, 41, a2, 000110
huffmanCodingEff, m199, t50, w2, 15087, 162, 40576, 56497, 203.8995, 0.849, 1874, 239, a3, 000111
mergeSort, m226, t50, w8, 6993, 20, 10594, 17707, 46.8761, 0.9336, 1900, 129, a3, 110010
huffmanCoding, m314, t50, w4, 17858, 51, 34369, 52461, 109.4554, 0.9013, 1874, 318, a4, 101010
add, m12, t100, w2, 268, 317, 429, 1065, 35.75, 0.9167, 583, 13, a4, 000010
factorial, m31, t100, w2, 764, 312, 19595, 20889, 632.0968, 0.9677, 403, 18, a4, 000111
huffmanCoding, m314, t50, w4, 17924, 156, 34273, 52529, 109.1497, 0.9013, 1874, 318, a5, 000010
transpose, m149, t50, w2, 5855, 157, 62349, 68448, 418.4497, 0.8993, 903, 40, a5, 100010
minProd, m181, t50, w2, 6704, 161, 15818, 23740, 87.3923, 0.8659, 1946, 72, a2, 110110
squareMatrix, m182, t50, w4, 4702, 153, 22748, 28712, 124.989, 1.0, 903, 72, a5, 011110
bubbleSort, m113, t50, w4, 2467, 50, 77024, 80350, 681.6283, 0.9182, 1900, 41, a2, 111110
anagram, m60, t100, w2, 1583, 322, 8149, 10111, 135.8167, 0.8667, 1370, 37, a4, 101010
mergeSort, m226, t50, w2, 10140, 161, 68217, 78615, 301.8451, 0.9336, 1900, 129, a5, 110010
squareMatrix, m182, t50, w4, 4798, 154, 23437, 28469, 128.7747, 1.0, 903, 72, a3, 001010
insertSort, m108, t50, w4, 2333, 54, 12338, 15379, 114.2407, 0.9444, 1900, 40, a3, 110110
dictionaryOrder, m71, t100, w8, 1173, 43, 5004, 6567, 70.4789, 0.9265, 8248, 32, a2, 101111
genPassword, m49, t100, w2, 1472, 327, 5561, 7426, 113.4898, 0.8367, 398, 63, a5, 001011
anagram, m60, t100, w2, 1583, 321, 7960, 10301, 132.6667, 0.8667, 1370, 37, a4, 111110
selectSort, m92, t50, w2, 3071, 162, 40075, 43622, 435.5978, 0.9101, 1900, 45, a3, 100111
parg, m2509, t52, w2, 437891, 178, 8581, 447241, 3.4201, 1.0, 418, 2518, a5, 010010
squareMatrix, m182, t50, w2, 6992, 160, 55536, 63779, 305.1429, 1.0, 903, 72, a5, 100110
longestIncrease, m114, t50, w2, 4933, 9452, 129888, 144839, 1139.3684, 0.9196, 1946, 70, a3, 001111
transpose, m149, t50, w8, 3843, 23, 10121, 14704, 67.9262, 0.9054, 903, 40, a2, 101110
parg, m2509, t52, w4, 425061, 54, 2748, 431568, 1.0953, 1.0, 418, 2518, a4, 101111
primes, m68, t100, w8, 1120, 38, 886, 2142, 13.0294, 0.8793, 398, 30, a2, 110111
factorial, m31, t100, w8, 492, 39, 5082, 5836, 163.9355, 0.9677, 403, 18, a2, 100110
anagram, m60, t100, w2, 1570, 314, 7976, 10289, 132.9333, 0.8667, 1370, 37, a4, 001110
parg, m2509, t52, w2, 428931, 174, 11058, 457248, 4.4073, 1.0, 418, 2518, a4, 110110
add, m12, t100, w2, 272, 332, 420, 1084, 35, 0.9167, 583, 13, a5, 001010
factorial, m31, t100, w2, 786, 326, 19694, 20871, 635.2903, 0.9677, 403, 18, a2, 001010
huffmanCodingEff, m199, t50, w2, 15284, 159, 40556, 57271, 203.799, 0.849, 1874, 239, a3, 111110
insertSort, m108, t50, w8, 2378, 22, 6392, 8866, 59.1852, 0.9444, 1900, 40, a3, 101011
parg, m2509, t52, w2, 438168, 177, 8565, 447501, 3.4137, 1.0, 418, 2518, a4, 100010
parg, m2509, t52, w2, 427992, 176, 8666, 437414, 3.454, 1.0, 418, 2518, a5, 110011
bubbleSort, m113, t50, w4, 2497, 154, 77161, 80037, 682.8407, 0.9182, 1900, 41, a3, 010111
mergeSort, m226, t50, w2, 10147, 164, 68048, 79702, 301.0973, 0.9336, 1900, 129, a2, 101110
longestIncrease, m114, t50, w2, 5111, 10486, 127674, 143820, 1119.9474, 0.9196, 1946, 70, a2, 010111
factorial, m31, t100, w8, 480, 42, 5091, 5679, 164.2258, 0.9677, 403, 18, a3, 100011
dictionaryOrder, m71, t100, w2, 1910, 328, 33535, 36081, 472.3239, 0.9265, 8248, 32, a3, 101111
anagram, m60, t100, w2, 1583, 303, 8163, 10107, 136.05, 0.8667, 1370, 37, a3, 010010
huffmanCoding, m314, t50, w4, 17949, 159, 34439, 52748, 109.6783, 0.9013, 1874, 318, a5, 010011
add, m12, t100, w2, 256, 323, 429, 1060, 35.75, 0.9167, 583, 13, a2, 010010
insertSort, m108, t50, w4, 2336, 49, 12476, 14933, 115.5185, 0.9444, 1900, 40, a5, 100011
add, m12, t100, w2, 273, 312, 409, 1051, 34.0833, 0.9167, 583, 13, a5, 110010
minProd, m181, t50, w4, 4457, 48, 5294, 9881, 29.2486, 0.7845, 1946, 72, a3, 111010
selectSort, m92, t50, w2, 3071, 162, 40153, 43970, 436.4457, 0.9101, 1900, 45, a2, 001110
mergeSort, m226, t50, w4, 6835, 154, 22766, 30172, 100.7345, 0.9336, 1900, 129, a3, 001111
dictionaryOrder, m71, t100, w2, 1924, 328, 33967, 36731, 478.4085, 0.9265, 8248, 32, a3, 000110
longestIncrease, m114, t50, w2, 4896, 9540, 130497, 145657, 1144.7105, 0.9196, 1946, 70, a3, 001110
anagram, m60, t100, w4, 1034, 100, 5002, 6540, 83.3667, 0.9286, 1370, 37, a3, 101110
parg, m2509, t52, w8, 432854, 93, 803, 434355, 0.32, 1.0, 418, 2518, a4, 001011
huffmanCodingEff, m199, t50, w2, 15359, 157, 41079, 57251, 206.4271, 0.849, 1874, 239, a2, 100111
insertSort, m108, t50, w4, 2378, 146, 12361, 15073, 114.4537, 0.9444, 1900, 40, a3, 010111
mergeSort, m226, t50, w2, 10560, 163, 68775, 80279, 304.3142, 0.9336, 1900, 129, a2, 000111
mergeSort, m226, t50, w2, 10241, 158, 68266, 78763, 302.0619, 0.9336, 1900, 129, a5, 100010
mergeSort, m226, t50, w2, 10680, 164, 68468, 79400, 302.9558, 0.9336, 1900, 129, a5, 001011
parg, m2509, t52, w2, 438915, 173, 10345, 450029, 4.1232, 1.0, 418, 2518, a5, 011011
huffmanCodingEff, m199, t50, w4, 10341, 48, 13708, 25314, 68.8844, 0.849, 1874, 239, a2, 110110
transpose, m149, t50, w2, 5804, 157, 62356, 68405, 418.4966, 0.8993, 903, 40, a4, 000011
mergeSort, m226, t50, w4, 6747, 50, 22896, 30166, 101.3097, 0.9336, 1900, 129, a2, 100111
selectSort, m92, t50, w8, 2006, 21, 5850, 8318, 63.587, 0.9101, 1900, 45, a2, 100110
longestIncrease, m114, t50, w4, 3166, 3468, 48322, 55049, 423.8772, 0.9035, 1946, 70, a2, 100011
mergeSort, m226, t50, w2, 10236, 164, 68315, 79499, 302.2788, 0.9336, 1900, 129, a3, 100111
parg, m2509, t52, w4, 426131, 57, 2583, 432419, 1.0295, 1.0, 418, 2518, a3, 101111
bubbleSort, m113, t50, w2, 7400, 165, 213483, 221513, 1889.2301, 0.9182, 1900, 41, a2, 001101
mergeSort, m226, t50, w8, 7257, 21, 10556, 18044, 46.708, 0.9336, 1900, 129, a2, 110111
bubbleSort, m113, t50, w2, 3715, 157, 213865, 218287, 1892.6106, 0.9182, 1900, 41, a3, 011111
primes, m68, t100, w8, 1143, 40, 882, 2162, 12.9706, 0.8793, 398, 30, a3, 100111
selectSort, m92, t50, w8, 1998, 144, 5883, 8211, 63.9457, 0.9101, 1900, 45, a3, 000111
factorial, m31, t100, w2, 1603, 313, 19506, 21482, 629.2258, 0.9677, 403, 18, a2, 100000
add, m12, t100, w2, 283, 320, 356, 1087, 29.6667, 0.9167, 583, 13, a2, 010110
transpose, m149, t50, w4, 3822, 50, 20907, 24866, 140.3154, 0.8993, 903, 40, a5, 110010
mergeSort, m226, t50, w2, 10191, 160, 68121, 79789, 301.4204, 0.9336, 1900, 129, a3, 100110
parg, m2509, t52, w8, 435773, 106, 819, 448521, 0.3264, 1.0, 418, 2518, a2, 011110
transpose, m149, t50, w2, 5788, 158, 62413, 68449, 418.8792, 0.8993, 903, 40, a2, 110010
factorial, m31, t100, w4, 498, 98, 7069, 7731, 228.0323, 0.9677, 403, 18, a2, 111010
mergeSort, m226, t50, w8, 6992, 22, 10523, 17631, 46.5619, 0.9336, 1900, 129, a2, 101011
mergeSort, m226, t50, w8, 7078, 20, 10565, 17759, 46.7478, 0.9336, 1900, 129, a3, 111011
mergeSort, m226, t50, w2, 10739, 162, 68350, 80579, 302.4336, 0.9336, 1900, 129, a4, 110110
squareMatrix, m182, t50, w8, 4865, 137, 10378, 15464, 57.022, 1.0, 903, 72, a3, 001011
insertSort, m108, t50, w4, 2370, 147, 12452, 15045, 115.2963, 0.9444, 1900, 40, a5, 001011
insertSort, m108, t50, w4, 2373, 150, 12381, 14973, 114.6389, 0.9444, 1900, 40, a5, 001010
transpose, m149, t50, w2, 5831, 163, 62250, 68326, 417.7852, 0.8993, 903, 40, a3, 100010
bubbleSort, m113, t50, w2, 3717, 162, 216403, 221071, 1915.0708, 0.9182, 1900, 41, a4, 100110
huffmanCoding, m314, t50, w8, 18348, 20, 15277, 34619, 48.6529, 0.9279, 1874, 318, a2, 111111
longestIncrease, m114, t50, w2, 4881, 9621, 131842, 147049, 1156.5088, 0.9196, 1946, 70, a3, 110110
genPassword, m49, t100, w2, 1477, 311, 5381, 7416, 109.8163, 0.8367, 398, 63, a4, 001111
genPassword, m49, t100, w2, 1512, 327, 5553, 7456, 113.3265, 0.8367, 398, 63, a4, 100010
selectSort, m92, t50, w2, 3077, 164, 40211, 43852, 437.0761, 0.9101, 1900, 45, a3, 101111
transpose, m149, t50, w8, 3778, 137, 10123, 14759, 67.9396, 0.9054, 903, 40, a2, 010110
parg, m2509, t52, w2, 432221, 170, 8442, 441431, 3.3647, 1.0, 418, 2518, a4, 001011
huffmanCoding, m314, t50, w4, 17873, 155, 34268, 52479, 109.1338, 0.9013, 1874, 318, a2, 011010
primes, m68, t100, w2, 1714, 320, 7210, 9679, 106.0294, 0.8793, 398, 30, a3, 111110
factorial, m31, t100, w2, 773, 292, 19536, 20870, 630.1935, 0.9677, 403, 18, a2, 100110
factorial, m31, t100, w2, 1571, 312, 19526, 21473, 629.871, 0.9677, 403, 18, a2, 011000
parg, m2509, t52, w2, 438240, 175, 8559, 456625, 3.4113, 1.0, 418, 2518, a4, 010111
maxArrSumNeg, m112, t50, w8, 2586, 19, 10121, 12897, 90.3661, 0.9358, 1910, 63, a3, 101111
squareMatrix, m182, t50, w4, 4709, 50, 23053, 27904, 126.6648, 1.0, 903, 72, a4, 111010
parg, m2509, t52, w2, 428559, 165, 2535, 441738, 1.0104, 1.0, 418, 2518, a5, 111111
minProd, m181, t50, w2, 6616, 164, 15593, 23442, 86.1492, 0.8659, 1946, 72, a4, 110110
factorial, m31, t100, w2, 779, 329, 19610, 20884, 632.5806, 0.9677, 403, 18, a3, 111111
parg, m2509, t52, w2, 436921, 176, 8665, 455750, 3.4536, 1.0, 418, 2518, a4, 011111
insertSort, m108, t50, w8, 2382, 21, 6372, 8918, 59, 0.9444, 1900, 40, a3, 110111
